Open,High,Low,Close,Adj_Close,Volume
203.929993,205.0,202.039993,202.369995,202.369995,267200
202.419998,204.009995,202.419998,203.699997,203.699997,360300
201.940002,205.479996,201.539993,205.25,205.25,496200
206.050003,212.270004,206.0,209.080002,209.080002,595900
208.529999,211.919998,207.830002,208.210007,208.210007,633100
210.509995,216.960007,210.509995,215.360001,215.360001,608700
215.889999,219.350006,215.889999,218.809998,218.809998,531000
219.960007,220.899994,217.300003,217.449997,217.449997,452800
217.440002,219.619995,216.25,219.509995,219.509995,387800
220.130005,221.100006,214.070007,218.039993,218.039993,401900
218.229996,219.820007,216.990005,219.720001,219.720001,262800
219.720001,222.330002,218.660004,221.070007,221.070007,211100
221.169998,223.880005,220.639999,222.339996,222.339996,397100
222.740005,224.5,221.520004,222.580002,222.580002,410100
224.199997,226.199997,222.429993,226.080002,226.080002,346700
227.25,229.009995,225.470001,227.899994,227.899994,637900
226.169998,227.0,224.699997,226.25,226.25,500900
224.509995,226.639999,223.559998,225.380005,225.380005,393600
225.550003,227.389999,224.5,224.979996,224.979996,245500
225.110001,226.539993,220.710007,221.910004,221.910004,255800
222.479996,224.169998,220.639999,222.899994,222.899994,520100
222.029999,223.75,216.110001,217.490005,217.490005,401800
217.779999,219.779999,216.759995,217.339996,217.339996,428700
218.309998,219.429993,211.660004,212.740005,212.740005,416300
212.330002,218.699997,212.330002,217.470001,217.470001,314400
217.940002,220.860001,217.330002,217.940002,217.940002,475400
216.830002,221.5,215.279999,221.279999,221.279999,325500
222.089996,222.729996,218.029999,218.820007,218.820007,234000
220.259995,222.360001,217.25,221.839996,221.839996,407300
222.179993,225.940002,222.179993,225.529999,225.529999,346300
226.429993,229.979996,226.429993,229.509995,229.509995,540200
236.880005,237.940002,230.350006,234.100006,234.100006,684400
232.949997,235.929993,231.559998,234.160004,234.160004,416500
235.309998,237.520004,234.589996,237.460007,237.460007,329600
237.460007,238.720001,236.110001,238.149994,238.149994,198700
238.979996,239.669998,236.539993,237.919998,237.919998,253700
236.630005,240.5,236.630005,239.789993,239.789993,340800
239.809998,241.610001,238.410004,239.100006,239.100006,300800
239.149994,243.740005,238.149994,242.820007,242.820007,380600
243.179993,248.649994,242.270004,248.139999,248.139999,539500
248.289993,248.720001,243.440002,248.550003,248.550003,369300
249.800003,252.399994,247.020004,248.070007,248.070007,474600
247.669998,251.410004,247.539993,251.130005,251.130005,484000
252.490005,252.490005,247.619995,247.979996,247.979996,331800
248.720001,249.0,239.350006,241.270004,241.270004,513800
240.639999,242.490005,235.669998,237.759995,237.759995,619100
238.169998,245.25,237.0,244.929993,244.929993,537300
244.929993,244.929993,227.789993,236.149994,236.149994,1092300
234.690002,243.039993,234.25,240.800003,240.800003,521700
241.0,243.369995,238.380005,242.639999,242.639999,440800
242.059998,244.309998,240.559998,242.910004,242.910004,357900
243.990005,246.210007,243.779999,245.520004,245.520004,515500
243.990005,246.770004,243.490005,246.220001,246.220001,545600
246.729996,249.179993,244.270004,244.630005,244.630005,380300
242.919998,245.830002,242.039993,243.520004,243.520004,299000
243.649994,245.470001,240.320007,240.570007,240.570007,384300
242.050003,244.910004,239.880005,243.369995,243.369995,316200
241.479996,242.809998,238.440002,241.570007,241.570007,286300
